Age,Potential,Value,ShortPassing,Balance,Strength,Interceptions,SlidingTackle,BMI,Work Rate_NUM
29,84,37000000,82,90,80,79,82,23.32,0
35,88,24000000,82,66,84,87,91,24.22,2
29,84,35500000,85,77,76,85,82,24.07,8
28,82,27500000,82,70,65,79,76,21.67,2
33,83,19000000,81,81,66,73,83,22.47,2
27,87,71500000,85,78,62,80,80,22.34,2
27,84,40500000,81,78,69,82,84,23.36,2
22,92,114000000,86,73,63,82,79,21.3,2
32,86,47000000,85,85,61,81,80,23.53,2
29,81,22000000,76,72,77,84,84,23.85,3
31,85,39000000,79,69,80,80,83,24.78,0
26,83,36000000,80,66,76,77,79,22.69,2
22,88,69500000,81,79,73,78,76,22.28,2
27,84,40500000,82,82,69,79,83,22.86,0
23,90,62500000,78,75,79,78,80,23.92,2
30,84,36500000,81,77,64,80,80,23.05,8
31,82,22000000,80,78,79,82,76,24.42,2
35,84,13000000,83,84,39,80,79,20.28,2
27,84,40500000,88,90,50,83,78,24.57,1
35,78,4300000,78,58,73,81,79,23.16,2
27,88,83500000,82,74,65,83,81,20.2,0
23,86,36500000,77,81,70,77,79,23.39,2
22,82,16000000,79,69,81,76,77,25.08,0
29,80,18500000,80,86,86,76,76,24.49,0
26,86,43500000,80,78,83,79,80,22.53,0
30,83,31500000,81,77,77,76,80,24.69,2
29,77,9500000,72,75,78,72,73,23.15,2
24,85,29500000,82,78,63,77,76,20.9,2
32,85,21500000,80,62,73,84,86,22.34,2
24,85,33500000,82,74,69,84,75,22.22,6
29,81,22500000,81,78,73,74,69,22.99,8
30,79,15000000,82,55,76,72,77,24.05,1
25,86,48500000,82,77,79,79,79,22.89,2
32,75,3900000,75,69,67,69,73,21.98,1
29,81,22500000,77,65,80,84,82,23.04,6
28,82,27500000,81,88,58,79,78,23.18,2
29,85,47500000,83,81,74,81,84,24.39,2
33,77,5500000,73,81,73,70,73,23.88,2
26,79,16500000,77,65,78,76,76,23.63,8
20,89,57000000,81,82,72,78,79,22.4,1
33,76,3000000,72,75,77,75,77,26.47,8
24,88,66500000,78,66,78,90,85,22.1,6
27,81,22000000,78,74,69,75,75,24.58,2
27,80,20500000,77,78,75,77,75,24.78,8
28,83,33000000,78,69,66,80,75,21.68,2
31,74,2900000,73,79,81,73,71,24.62,2
29,77,9500000,76,79,72,70,73,21.91,0
28,76,7000000,75,70,74,77,75,23.25,8
29,89,86000000,79,53,92,90,86,24.7,8
33,78,7500000,75,72,71,77,78,22.72,2
29,74,4300000,73,74,71,68,76,23.24,2
28,78,10000000,73,81,79,76,79,22.53,0
21,78,15000000,77,58,67,67,75,21.1,0
31,75,4100000,69,80,82,66,66,24.69,2
21,79,18500000,78,69,82,72,77,24.9,8
21,86,37000000,79,85,83,75,74,27.46,2
31,82,21000000,84,72,72,87,80,22.22,2
26,86,43500000,81,78,66,80,84,22.31,2
25,83,22000000,77,76,82,77,81,23.37,6
30,82,26500000,81,61,75,76,82,22.88,2
35,78,4300000,77,76,62,75,72,21.22,2
23,83,15500000,77,80,64,75,70,22.72,0
26,79,15000000,77,78,70,73,79,22.86,2
33,77,5500000,75,79,52,62,77,22.2,2
27,80,20500000,77,76,73,77,82,24.44,2
35,82,7000000,81,72,78,87,80,24.52,6
24,86,31000000,77,77,74,77,76,22.09,0
28,82,27500000,77,81,75,80,80,21.97,0
27,78,11000000,73,70,77,72,72,24.81,0
33,77,4000000,76,72,70,72,78,22.02,2
28,80,19000000,75,84,76,76,78,24.82,0
21,78,15000000,76,72,67,72,77,24.21,8
34,78,5000000,75,77,83,80,75,27.16,8
31,76,5500000,75,79,74,73,71,24.97,8
29,77,9500000,71,47,83,75,80,24.67,2
