Age,Potential,Value,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,SprintSpeed,LongShots,Aggression,Vision,BMI,Work Rate_NUM
26,89,107500000,87,91,83,88,87,73,89,78,90,21.53,0
26,88,93000000,75,86,84,84,87,83,86,81,84,22.96,2
30,91,125500000,94,94,88,93,91,76,91,76,94,21.37,0
26,90,108000000,91,87,83,90,85,65,84,89,85,23.94,2
32,83,28500000,67,82,82,76,83,71,80,81,82,23.89,0
30,84,40500000,72,87,85,81,88,76,73,75,79,24.16,0
27,83,35000000,69,83,82,83,79,87,81,88,79,24.86,6
35,87,32000000,86,91,85,89,90,70,82,62,90,22.31,8
26,89,88000000,74,86,82,83,84,90,79,83,86,21.86,2
25,87,50000000,77,84,83,82,84,75,78,81,83,23.24,0
24,89,63500000,69,86,83,79,87,76,72,79,83,22.99,0
24,92,119500000,78,91,88,87,89,82,66,75,86,22.84,2
27,85,48000000,74,84,79,81,82,81,88,77,83,23.99,0
29,85,52500000,85,86,80,84,83,69,80,79,86,24.21,8
28,84,42500000,91,80,85,75,82,88,78,80,81,24.22,0
26,87,66000000,64,85,84,85,86,70,80,79,82,20.83,2
34,81,12000000,76,81,76,79,83,65,81,92,80,23.15,0
28,87,79500000,77,88,88,92,90,77,84,78,89,23.03,2
29,89,88000000,58,84,69,84,79,69,81,91,80,24.54,0
34,93,78000000,85,91,96,91,96,80,94,44,95,24.91,7
23,86,33000000,72,81,84,79,83,83,78,84,79,22.6,0
26,83,39500000,79,80,85,72,84,82,80,82,79,23.77,0
29,89,101000000,79,84,90,75,89,91,84,63,83,23.18,2
24,86,46000000,88,81,84,81,84,73,69,77,79,22.53,0
30,83,34500000,81,84,82,87,83,82,84,68,89,20.98,2
35,82,4800000,85,83,84,81,86,77,78,82,79,22.99,2
28,84,37000000,72,85,76,84,84,68,84,85,80,20.76,8
28,87,79500000,82,90,91,89,92,60,58,89,89,22.04,6
30,86,65000000,78,90,90,89,92,55,73,72,85,23.12,8
28,83,29500000,69,85,76,80,82,72,80,84,74,21.39,8
31,84,29500000,82,85,78,87,83,66,75,83,80,24.15,0
30,85,51500000,78,88,86,85,89,65,81,70,86,24.69,2
33,80,13000000,73,82,70,79,79,71,90,85,81,20.98,2
23,85,37000000,74,82,86,79,84,76,74,78,83,22.22,0
24,86,49500000,66,83,78,75,84,79,78,84,76,26.28,0
29,89,101000000,78,84,90,71,88,90,80,75,84,22.53,2
25,86,38000000,74,86,78,82,83,79,74,72,84,22.26,8
32,80,16500000,79,80,77,81,80,75,80,74,78,22.59,8
24,87,57000000,82,89,79,88,85,59,86,68,87,23.24,8
25,85,37000000,82,83,83,79,83,87,79,69,78,23.6,2
32,83,28500000,75,85,82,83,81,70,81,67,83,24.86,0
29,91,129000000,85,86,95,81,95,89,81,63,90,22.2,2
24,84,22000000,72,79,81,72,78,83,75,87,80,23.31,0
31,84,19500000,76,85,84,81,85,77,78,78,84,22.84,0
27,83,35000000,69,85,81,81,85,76,78,69,80,21.6,2
30,90,100000000,68,82,79,79,81,75,65,93,78,24.8,6
31,82,25000000,86,80,80,79,83,83,87,64,79,23.96,8
29,82,30000000,78,77,78,76,80,90,74,82,79,23.67,0
33,87,49500000,88,84,88,82,87,83,86,73,88,21.3,2
30,81,24500000,77,82,81,77,83,77,80,77,85,21.13,2
22,89,58000000,66,85,79,84,82,90,81,81,80,23.55,0
27,83,28000000,79,84,79,85,81,66,77,89,84,23.15,8
25,85,35500000,79,84,83,83,85,75,75,82,83,21.71,0
36,78,1200000,85,85,72,87,83,76,77,83,83,24.62,0
28,81,22500000,70,82,79,80,80,74,68,87,73,21.71,0
24,88,51500000,77,85,80,82,81,80,76,65,82,23.46,8
24,87,46000000,78,88,76,85,82,54,84,83,86,24.69,3
27,83,35500000,75,84,83,82,84,76,87,67,79,22.16,1
28,82,30500000,79,82,85,71,84,81,63,73,83,22.05,2
32,86,53500000,86,92,82,90,86,49,88,58,89,22.34,8
26,81,24500000,65,82,76,84,82,64,82,83,80,24.72,2
32,83,24000000,69,90,78,83,81,61,71,75,79,23.41,8
34,80,10500000,80,83,80,82,85,37,86,84,83,24.52,8
27,88,73500000,75,84,78,82,81,68,70,85,75,22.07,6
28,83,36500000,74,87,84,85,83,74,78,84,85,22.5,6
24,83,15000000,69,75,77,73,80,84,72,81,75,22.86,8
24,82,16000000,78,76,77,76,77,79,75,80,79,23.52,0
27,82,26500000,69,82,78,83,82,65,87,77,78,21.86,2
23,84,30000000,72,84,84,83,84,67,72,81,81,22.86,8
33,82,15000000,80,84,83,87,84,61,81,83,85,24.77,2
31,81,21000000,65,81,76,79,78,70,78,84,78,22.79,8
33,80,11000000,84,80,89,77,91,73,70,77,78,24.77,1
25,86,48000000,83,83,88,76,86,80,77,63,83,22.57,2
32,81,20500000,80,78,78,72,80,81,77,65,74,23.12,8
24,85,47000000,79,88,87,85,90,67,74,70,80,24.96,8
27,78,12000000,74,78,78,75,79,80,77,74,79,22.31,0
29,82,30000000,81,85,81,84,83,74,82,60,78,21.85,2
31,88,75000000,88,93,80,93,88,52,86,60,90,22.69,8
32,82,24000000,74,85,82,79,84,59,83,74,84,24.42,8
31,81,21000000,80,82,82,81,84,73,77,67,83,22.98,2
23,89,77500000,80,80,86,71,84,93,81,73,81,20.23,2
28,89,104000000,83,84,87,74,84,90,89,62,83,23.29,0
24,86,38500000,67,81,76,78,85,69,78,76,79,21.86,2
23,84,24500000,76,82,70,83,76,64,76,71,76,22.99,8
35,79,7000000,85,82,76,80,81,52,70,86,77,22.86,6
29,80,20500000,81,84,76,82,81,55,86,76,81,23.81,6
25,83,24500000,80,79,84,74,82,84,75,76,80,21.3,0
33,76,4600000,80,78,79,76,80,66,76,71,77,24.34,0
33,80,13000000,78,83,80,82,82,67,81,60,83,21.8,2
26,84,33500000,89,85,76,84,82,54,79,73,82,22.05,6
32,80,14000000,77,81,74,83,78,63,77,84,79,23.26,6
31,79,14500000,71,81,78,78,81,62,71,82,79,21.43,0
36,83,7000000,68,83,76,81,81,52,76,86,66,20.91,6
30,79,17000000,68,80,76,77,77,75,73,75,77,21.43,0
31,78,11500000,79,82,80,79,83,69,81,68,80,22.89,2
28,79,17500000,65,81,76,78,79,69,83,86,79,21.5,8
30,81,25000000,83,79,81,76,79,82,76,72,79,23.39,2
31,87,66000000,85,85,77,79,84,67,82,62,85,22.21,0
26,82,30000000,70,84,80,80,83,81,76,69,76,21.7,8
27,88,93000000,82,87,90,79,93,80,89,43,91,23.94,8
29,80,20500000,83,83,81,82,82,65,80,83,84,23.32,2
28,82,30500000,81,84,83,82,85,66,76,63,86,21.85,8
33,80,13000000,75,78,85,74,77,78,82,83,78,26.23,1
29,85,52500000,75,92,79,89,87,50,62,79,88,20.99,8
31,81,21500000,73,81,85,80,78,79,80,63,82,22.91,2
24,84,30000000,73,86,77,79,84,74,65,81,77,21.27,8
33,82,18500000,84,85,79,86,82,56,76,67,84,23.04,8
30,83,30500000,72,83,81,80,82,68,69,89,77,24.16,6
33,78,8500000,79,79,67,77,75,53,77,80,81,24.93,0
26,86,74000000,85,86,92,76,90,77,76,70,84,21.38,0
26,86,48000000,75,82,88,66,87,85,86,79,84,23.94,2
23,86,39000000,81,83,86,80,86,78,76,59,81,22.47,8
32,85,43000000,85,85,85,79,86,71,83,51,86,21.91,2
34,80,9500000,85,86,76,83,85,45,77,74,83,21.11,6
33,77,6500000,85,76,75,73,75,66,74,72,75,24.15,6
27,79,16000000,80,80,77,78,78,70,76,73,78,21.46,0
27,84,41500000,73,90,89,82,89,65,75,77,84,25.83,0
28,79,17500000,67,79,75,77,80,72,75,79,78,21.85,0
28,80,21000000,74,84,86,80,84,68,77,70,82,23.45,2
25,80,21000000,77,77,82,74,81,71,84,62,79,21.63,8
27,79,18500000,78,80,83,75,83,81,78,77,79,22.86,0
33,79,11000000,65,83,87,79,86,71,68,73,78,24.84,0
33,75,3500000,73,76,78,75,76,73,72,70,75,24.38,2
30,81,21500000,72,79,75,77,76,69,65,87,75,22.84,0
31,80,10000000,69,78,77,74,82,80,66,79,74,21.53,0
34,78,6500000,72,80,80,74,84,72,78,82,78,22.5,8
24,87,46000000,75,85,89,81,87,69,75,73,87,23.72,8
30,82,25500000,68,78,71,75,76,68,77,85,69,22.21,6
27,84,45000000,79,84,88,78,87,79,84,79,83,25.06,2
30,80,20000000,73,82,83,80,82,74,74,70,79,23.25,0
26,77,9000000,74,77,76,78,76,69,72,73,78,22.53,8
33,81,10500000,67,84,74,83,79,65,76,82,79,22.59,6
28,78,14000000,78,79,79,82,79,70,78,69,80,21.8,6
25,82,26500000,72,82,83,80,84,68,74,70,82,22.63,2
23,86,39000000,70,83,86,79,86,74,73,69,83,22.86,1
27,82,29500000,77,84,87,81,85,79,83,56,84,23.15,8
25,86,42000000,72,83,83,80,86,60,83,68,82,19.6,8
35,80,6000000,68,85,76,77,79,66,67,87,79,24.3,6
28,80,12000000,68,78,69,84,73,72,86,84,75,24.25,2
23,87,42000000,70,85,78,83,80,60,80,72,82,21.91,6
25,81,25000000,76,79,82,65,81,81,72,72,78,23.84,2
26,89,107500000,79,83,87,69,86,88,83,59,82,23.88,2
34,78,4800000,74,82,78,79,80,62,73,74,82,23.46,8
27,76,8000000,68,75,79,76,78,55,77,81,76,23.74,6
24,82,16000000,69,77,74,78,77,77,75,82,73,22.64,0
22,88,39500000,67,85,81,77,80,80,84,69,79,22.53,2
23,83,16500000,70,76,80,74,78,86,78,65,78,20.9,2
26,85,36000000,69,81,74,76,77,66,70,76,72,23.33,0
32,84,33500000,86,87,85,80,87,70,77,56,88,23.2,8
25,78,7500000,85,73,73,70,73,79,82,74,70,23.67,8
22,87,41500000,81,81,80,79,81,80,65,76,78,22.31,2
32,74,3200000,70,70,75,75,78,63,83,77,75,23.89,2
26,81,16500000,64,80,80,83,78,67,73,79,76,21.46,0
30,71,1800000,68,70,68,69,71,85,69,86,71,22.57,8
24,84,24500000,65,80,80,77,78,71,79,74,76,24.15,2
22,83,17000000,69,79,82,75,78,79,76,80,77,21.67,0
27,79,18500000,76,78,82,80,85,55,80,69,82,21.8,2
24,84,27500000,68,81,78,78,76,69,81,88,75,23.62,6
31,82,21500000,60,80,76,76,79,69,72,83,70,21.8,6
29,80,20500000,81,80,79,75,79,83,77,76,77,22.72,0
31,75,4700000,72,74,76,69,73,88,67,75,73,21.46,0
27,82,32500000,76,79,84,67,82,88,80,84,74,22.79,2
24,83,21000000,77,83,83,79,82,77,65,78,76,22.31,8
22,89,58500000,82,86,82,83,85,71,82,68,83,22.09,0
24,87,46000000,78,76,86,70,83,91,76,76,77,21.95,0
29,83,35500000,83,83,85,82,83,87,78,62,83,23.94,7
25,89,81000000,63,85,78,83,82,62,76,76,81,22.48,6
30,80,20500000,73,75,85,66,83,84,72,68,74,23.72,2
23,85,32000000,79,74,83,69,78,85,73,74,75,24.21,2
24,79,10000000,77,76,79,76,79,75,77,78,76,22.34,8
